Название,Ссылка,Collection ID,Item ID,Created On,Updated On,Published On,Раздел,В группе,Название группы,Описание,Цена,Веган,Доставка,2 Советская,Римского-Корсакова,ВО,Позиция в списке,Фотография,Является группой
Какао,cacao,5fab84f647b9e10c06cef6ec,5fc4aba99b75573846939685,Mon Nov 30 2020 08:22:01 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 00:23:53 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 00:28:01 GMT+0000 (Coordinated Universal Time),drinks,true,Не кофе,,180,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,3.1,,false
Какао кокос,cacao-kokos,5fab84f647b9e10c06cef6ec,5fc4b13c0fa24cfdeef1f5df,Mon Nov 30 2020 08:45:48 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 00:24:53 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 00:28:01 GMT+0000 (Coordinated Universal Time),drinks,true,,,250,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,3.7,,false
Каскара,cascara,5fab84f647b9e10c06cef6ec,5fc4b0903821c1610c902046,Mon Nov 30 2020 08:42:56 GMT+0000 (Coordinated Universal Time),Thu Apr 29 2021 16:48:18 GMT+0000 (Coordinated Universal Time),,drinks,true,,,150,true,false,2-sovetskaya,,met-vo,3.3,,false
Каскара кофе,cascara-kofe,5fab84f647b9e10c06cef6ec,5fc4ab2f8270d95bbe0111b9,Mon Nov 30 2020 08:19:59 GMT+0000 (Coordinated Universal Time),Thu Apr 29 2021 16:49:40 GMT+0000 (Coordinated Universal Time),,drinks,true,,,170,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,2.4,,false
Чай чили-ежевика,chay-chili-ezhevika,5fab84f647b9e10c06cef6ec,615795ac7e6745fa1b2af882,Fri Oct 01 2021 23:11:40 GMT+0000 (Coordinated Universal Time),Mon Oct 04 2021 23:34:19 GMT+0000 (Coordinated Universal Time),Mon Oct 04 2021 23:35:16 GMT+0000 (Coordinated Universal Time),drinks,true,,,250,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.5,,false
Чай малина-тимьян,chay-malina-timyan,5fab84f647b9e10c06cef6ec,5fc4b68d51db5a68a0d9fbda,Mon Nov 30 2020 09:08:29 GMT+0000 (Coordinated Universal Time),Thu Apr 29 2021 16:31:28 GMT+0000 (Coordinated Universal Time),,drinks,true,,,280,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.6,,false
Чай маракуйя,chay-marakuyya,5fab84f647b9e10c06cef6ec,615795c2dbb47a273731da8d,Fri Oct 01 2021 23:12:02 GMT+0000 (Coordinated Universal Time),Mon Oct 04 2021 23:34:31 GMT+0000 (Coordinated Universal Time),Mon Oct 04 2021 23:35:16 GMT+0000 (Coordinated Universal Time),drinks,true,,,250,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.6,,false
Чай сайган дайля,chay-saygan-daylya,5fab84f647b9e10c06cef6ec,5fc4b675fee2521ff1d62246,Mon Nov 30 2020 09:08:05 GMT+0000 (Coordinated Universal Time),Thu Apr 29 2021 16:31:32 GMT+0000 (Coordinated Universal Time),,drinks,true,,,250,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.5,,false
Чизкейк Сан Себастьян,chizkeyk-san-sebastyan,5fab84f647b9e10c06cef6ec,622229a7a4293b2bd9de23a2,Fri Mar 04 2022 15:00:55 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:00:55 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),deserty,false,,"Баскский чизкейк, на основе крем-сыра и лимонной цедры (160 г)",220,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,12,,false
Cold Brew Tonic,cold-brew-tonic,5fab84f647b9e10c06cef6ec,608adf82a2282383cd18dbc6,Thu Apr 29 2021 16:32:02 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:02:32 GMT+0000 (Coordinated Universal Time),,drinks,true,Безумный охлаждающий,,250,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.1,,false
